Candidate,Party,Type,Date,Title,Speech
Bobby Jindal,R,s,"September 2, 2015",Statement by Governor Bobby Jindal: Republicans Surrendered to Obama on Iran Deal,"Every single Republican Senator in D.C. except for Sen. Tom Cotton supported the Corker framework. That's when Republicans surrendered to President Obama on the Iran deal. Many have argued that bill paved the way for Obama to only need 34 votes to win.By endorsing the Corker-Cardin framework, the Senators allowed the deal to go ahead. Amazingly, only one Senator had the sense to oppose this. It was not any of the four Republican Senators running for President, it was not Ted Cruz, it was Tom Cotton. He was the only one who had the guts to stand up and say no. The vote was 98-1 by the way.Here's the real problem  Republicans in Washington got conned by the President. The Iranians conned the President, and the President conned the Republicans in the Senate. Senate Republicans are the only ones who are worse negotiators than President Obama."
Bobby Jindal,R,s,"September 9, 2015",Statement by Governor Bobby Jindal: Demand Senate Republicans Force a Vote on the Iran Deal,This deal with Iran is the equivalent of the United States negotiating with terrorists. Every United States Senator must be forced to vote and show the American people whether they support or oppose this dangerous new strategy.
Bobby Jindal,R,s,"September 22, 2015",Statement by Governor Bobby Jindal: Why is Harry Reid Still Running the Senate?,"Today, Senate Democrats blocked Senate Republicans from passing a 20-week abortion ban. It appears that even though voters gave Republicans control of the Senate in 2014, Harry Reid is still running the Senate.I wish Senate Republicans showed half the fight that Senate Democrats did."
Bobby Jindal,R,s,"September 23, 2015",Statement by Governor Bobby Jindal: President Obama Lied to Pope Francis,"BATON ROUGE  Today, Governor Jindal said that President Obama lied to Pope Francis this morning when he said Americans must be free to live out their faith. Governor Jindal pointed out that simply is not reality in America today:Governor Jindal said, ""President Obama lied to Pope Francis. The President told the Pope that, in America, people must be free to live out their faith without fear of intimidation. That's the opposite of reality in America today, Mr. President. We have Christians who are jailed for their closely-held religious beliefs. We have Christians fined thousands of dollars by the government simply because they didn't bake a wedding cake for a same-sex couple.""Meanwhile, liberals are spending their time excoriating Christian conservatives, demanding that they publicly profess their support for a theoretical Muslim president that doesn't exist. Here's a reality check: Christians are Americans, too, with the same rights as everyone else. This President has not protected Christians and their constitutionally-guaranteed religious freedom, and it's time we have a president who will.""Background:You can read President Obama's comments here."
Bobby Jindal,R,s,"September 24, 2015",Statement by Governor Bobby Jindal: DC Needs Term Limits,"America needs term limits. Both parties have done a terrible job in DC, and it's time we clean house. DC was not designed to have a permanent political class like we have today."
Bobby Jindal,R,s,"October 14, 2015","Statement by Governor Bobby Jindal: Nationally-Focused Debate Criteria Ignores Reality, Hurts Early States, Helps Trump","IOWA CITY, IOWA  Governor Bobby Jindal spoke out today on the Republican National Committee's upcoming sanctioned presidential debate, hosted by CNBC, and its unfair criteria for candidate participation.Governor Jindal said, ""Two weeks ago, I was surprised to learn that the criteria for participating in the upcoming RNC-sanctioned presidential debate do not take into account performance in the early-voting states of Iowa and New Hampshire.""No candidate for President has won the nomination of my party without winning in either Iowa or New Hampshire in the modern era, and I suspect that pattern will continue this year. I've been gaining ground and campaigning hard in the state where Republicans will cast the first real votes for President in 2016: Iowa.""While some in Washington have wrongly suggested that Iowa and NH should not be the first states in future elections, they are in fact the first states in this election. By ignoring the early states and instead only looking at meaningless national name ID polls, the networks are in effect trying to create a national primary. They are attempting to winnow the field long before the voters in Iowa and New Hampshire get to cast their ballots by restricting access to debates.""The primary beneficiary of this process is Donald Trump, a candidate completely devoid of substance, but a candidate who is well known nationally for his TV show and his juvenile antics. What he lacks in depth or seriousness he more than makes up for with national name recognition from his long career as an entertainer.""Just as Chairman Priebus was the only person with the power and authority to attempt to correct the problems he saw in our 2012 nominating process, he is also the only person with the power and authority to force the networks to measure progress in Iowa and NH, and stop ignoring the reality of how we nominate our nominee for President."
Bobby Jindal,R,s,"October 16, 2015",Statement by Governor Bobby Jindal: Stand with Israel,"Over the past week, Israel has faced a wave of terrorist attacks from radical, violent Palestinians. The Obama Administration is unable to determine who is right and wrong between Palestinian terrorists killing innocent Israelis and the Israeli government protecting its' citizens. Just this week, a State Department spokesman said ""I would say certainly individuals on both sides of this divide are  have proven capable of and in our view guilty of acts of terror.""That is despicable.And unfortunately, this is just another incident in a pattern of anti-Israel behavior and rhetoric by the Obama administration.It has to stop. The United States must have a President who will once again say clearly to the world that Israel is our friend, and we stand firmly with them.When Hillary Clinton calls for ""dialogue"" as the solution to end the terrorist attacks against Israel, she implies that Israelis are responsible for terrorists attacking them. In fairness to Hillary, she probably actually believes that, but it is flat out wrong.Israel shouldn't engage in ""dialogue"" with terrorists. Israel should destroy terrorists - and the United States should stand with Israel when it does so."
Bobby Jindal,R,s,"October 16, 2015",Statement by Governor Bobby Jindal: Hillary Clinton Now Supports Gun Confiscation,"Today, Governor Jindal slammed Hillary Clinton for saying the federal government should look at confiscating the guns of law-abiding citizens. Governor Jindal said, ""Today in New Hampshire, Hillary Clinton came out in favor of gun confiscation, further cementing her support for socialism in America. Secretary Clinton's comment takes the phrase gun control to a whole new level. Calling it gun control doesn't event do this justice  this is gun seizure. Secretary Clinton's comment is an example of the nanny state on display. She won't stop with just taking away our guns and our Second Amendment rights, she will come for everything else that she and her big government elitist colleagues think is bad for us dim-witted Americans. ""When the government confiscated guns after Katrina, I passed a law so it would never happen again  and I won't let Hillary do it now. Hillary Clinton can't dictate our religious beliefs, and she certainly can't take our guns."""
Bobby Jindal,R,s,"November 3, 2015",Statement by Governor Bobby Jindal: Make Intelligence a Criteria For Next Debate,"BATON ROUGE  As candidates call for new debate criteria, Governor Jindal has a new suggestion  make intelligence part of the criteria for the next Republican presidential debate.Governor Jindal said, ""Amidst all this chatter about criteria to participate in debates  I've got a suggestion.""How about this  if you want to participate in the next Republican debate, you should be required to be smart enough to have a plan to replace Obamacare and restore freedom and sanity to America's health care system.""I introduced a detailed plan to replace Obamacare over a year ago, and only one other candidate has even attempted to write a plan.""Ted Cruz likes to try to shut down the government over Obamacare, but he's never even bothered to come up with a replacement plan.""All the candidates complain about Obamacare and campaign against it, but they don't apparently have the smarts or the courage to produce their own plan.""Most of these candidates simply have stale talking points on Obamacare and health care reform.""The Democrats' government takeover of American health care is the most significant domestic policy event of the past decade, and is the tip of the spear in the drive toward transforming the American economy into a socialist economy.""And yet, most of our candidates can't even figure out or think through how they would replace it.""If you want to lead the free world, you should be required to tell the voters how you will do it."""
Bobby Jindal,R,s,"November 12, 2015",Statement by Governor Bobby Jindal on the Absurdity of Political Correctness on College Campuses,"I don't know all the details of the situation at the University of Missouri, and I've never tolerated racism of any kind and never will.But it's time for someone to speak truth here  the absurdity of political correctness on college campuses is laughable, but the consequences are not.President Obama has encouraged a culture of professional victimhood and grievance. Everyone is encouraged to be a victim.This PC atmosphere is turning students into intellectual toddlers who will be unprepared for life in the real world.They will be completely incapable of dealing with any adversity and unprepared to handle freedom of thought or expression.How will these emotional juveniles be able to compete with the rest of the world? Imagine them negotiating with the Russians or the Chinese or the Iranians. Perhaps they will ban certain words? Or demand the establishment of a ""safe zone.""Our colleges and universities should be defenders of free speech and the First Amendment. They should prepare students for the simple fact that in the real world you do not get to dictate what you will and will not deal with. If they don't do this, they are hurting the students."
Bobby Jindal,R,s,"November 17, 2015",Statement by Governor Bobby Jindal Announcing the End of Presidential Campaign Activities,"I cannot tell you what an honor it has been to run for President of the United States of America. My parents came to this country 45 years ago searching for freedom and a chance.When I was born, we lived in student housing at LSU, and never in their wildest dreams did they think their son would have the opportunity to serve as Governor of Louisiana or to run for President.They raised me to believe Americans can do anything, and they were right, we can. But this is not my time, so I am suspending my campaign for President.Going forward, I believe we have to be the party of growth and we can never stop being the party that believes in opportunity. We cannot settle for The Left's view of envy and division. We have to be the party that says everyone in this country - no matter the circumstances of their birth or who their parents are  can succeed in America.One of the things I will do is go back to work at the think tank I started a few years ago - where I will be outlining a blueprint for making this the American century.We must show the way forward on growing our economy and winning the war against terror, and especially defeating radical Islam.I realize that our country is off on the wrong track right now. Everyone knows that, but don't forget, this is still the greatest country in the history of the world  and every single one of us should start every day by thanking God that we are fortunate enough to be US citizens.Now is the time for all those Americans who still believe in freedom and American exceptionalism to stand up and defend it. The idea of America  the idea that my parents came here for almost a half a century ago - that idea is slipping away from us. Freedom is under assault from both outside our borders and from within. We must act now, we do not have a moment to spare."
